Município;População;Posição
Curitiba;1 893 997;1
Londrina;553 393;2
Maringá;403 063;3
Ponta Grossa;341 130;4
Cascavel;316 226;5
São José dos Pinhais;302 759;6
Foz do Iguaçu;263 915;7
Colombo;234 941;8
Guarapuava;179 256;9
Paranaguá;151 829;10
Araucária;135 459;11
Toledo;133 824;12
Apucarana;131 571;13
Pinhais;128 256;14
Campo Largo;125 719;15
Arapongas;116 960;16
Almirante Tamandaré;114 129;17
Umuarama;109 132;18
Piraquara;106 132;19
Cambé;104 592;20
Fazenda Rio Grande;93 730;21
Campo Mourão;93 547;22
Sarandi;91 344;23
Francisco Beltrão;87 491;24
Paranavaí;87 316;25
Pato Branco;79 869;26
Cianorte;78 553;27
Telêmaco Borba;76 550;28
Castro;71 159;29
Rolândia;64 028;30
Irati;60 070;31
União da Vitória;56 650;32
Ibiporã;52 848;33
Prudentópolis;51 849;34
Marechal Cândido Rondon;51 306;35
Cornélio Procópio;48 615;36
Palmas;48 339;37
Lapa;47 814;38
Santo Antônio da Platina;45 562;39
Medianeira;45 239;40
São Mateus do Sul;45 000;41
Campina Grande do Sul;42 187;42
Jacarezinho;40 253;43
Paiçandu;39 738;45
Dois Vizinhos;39 500;46
Guaratuba;35 588;47
Marialva;34 675;48
Jaguariaíva;34 647;49
Mandaguari;34 425;50
Assis Chateaubriand;34 046;51
Palmeira;33 889;52
Rio Negro;33 628;53
Quedas do Iguaçu;33 265;54
Matinhos;33 024;55
Guaíra;32 784;56
Ivaiporã;32 715;57
Bandeirantes;32 562;58
Rio Branco do Sul;32 369;59
Laranjeiras do Sul;32 228;60
Pitanga;32 215;61
Pinhão;32 152;62
Imbituva;31 291;63
Palotina;31 115;64
Ibaiti;30 888;65
Goioerê;29 683;66
Nova Esperança;27 986;67
Campo Magro;27 884;68
Arapoti;27 728;69
São Miguel do Iguaçu;27 330;70
Itaperuçu;27 131;71
Reserva;26 643;72
Astorga;26 087;73
Santa Helena;25 665;74
Cambará;25 287;44
Mandirituba;25 287;75
Piraí do Sul;25 117;76
Pontal do Paraná;24 878;77
Colorado;23 811;78
Ortigueira;23 308;79
Santa Terezinha de Itaipu;22 783;80
Loanda;22 754;81
Quatro Barras;22 353;82
Carambeí;21 939;83
Mandaguaçu;21 930;84
Altônia;21 867;85
Ubiratã;21 812;86
Coronel Vivida;21 755;87
Jandaia do Sul;21 273;88
Cruzeiro do Oeste;21 197;89
Andirá;20 822;90
Tibagi;20 470;91
Siqueira Campos;20 303;92
Santo Antônio do Sudoeste;20 059;93
Chopinzinho;19 992;94
Wenceslau Braz;19 847;95
Antonina;19 416;96
Sengés;19 302;97
Capanema;19 275;98
Cruz Machado;18 807;99
Ampére;18 591;100
Quitandinha;18 419;101
Cerro Azul;17 755;102
Contenda;17 525;103
Terra Roxa;17 517;104
Clevelândia;17 373;105
Matelândia;17 340;106
Mangueirinha;17 334;107
Faxinal;17 160;108
Corbélia;17 076;109
Realeza;17 023;110
Terra Boa;16 781;111
Cafelândia;16 611;112
Bituruna;16 480;113
Morretes;16 435;114
Sertanópolis;16 373;115
Cândido de Abreu;16 339;116
Terra Rica;16 326;117
Assaí;16 212;118
Tijucas do Sul;15 970;119
