n_linear,n_rbf,acc_linear,acc_rbf
3,212,1.0,1.0
3,201,1.0,1.0
2,210,1.0,1.0
2,208,1.0,1.0
2,202,1.0,1.0
3,117,1.0,1.0
2,198,1.0,1.0
2,116,1.0,1.0
2,206,1.0,1.0
2,202,1.0,1.0
22,103,0.98,0.98
3,204,1.0,1.0
2,208,1.0,1.0
3,197,1.0,1.0
2,116,1.0,1.0
2,202,1.0,1.0
11,6,0.99,1.0
2,204,1.0,1.0
10,203,0.9966666666666667,0.9966666666666667
2,300,1.0,1.0
3,300,1.0,1.0
2,199,1.0,1.0
3,202,1.0,1.0
57,197,0.9366666666666666,0.9433333333333334
2,204,1.0,1.0
7,206,0.9966666666666667,0.9966666666666667
17,90,0.9866666666666667,0.9866666666666667
2,198,1.0,1.0
2,208,1.0,1.0
5,4,1.0,1.0
3,206,1.0,1.0
2,300,1.0,1.0
2,206,1.0,1.0
3,194,1.0,1.0
2,120,1.0,1.0
3,191,1.0,1.0
61,119,0.9266666666666666,0.93
3,201,1.0,1.0
2,214,1.0,1.0
3,206,1.0,1.0
3,296,1.0,1.0
2,204,1.0,1.0
3,196,1.0,1.0
2,211,1.0,1.0
2,204,1.0,1.0
2,201,1.0,1.0
3,211,1.0,1.0
114,146,0.8233333333333334,0.8666666666666667
3,205,1.0,1.0
4,205,1.0,1.0
76,248,0.9033333333333333,0.91
3,199,1.0,1.0
2,201,1.0,1.0
6,127,0.9933333333333333,0.9933333333333333
2,119,1.0,1.0
3,118,1.0,1.0
2,115,1.0,1.0
18,300,0.9866666666666667,0.9933333333333333
2,206,1.0,1.0
3,118,1.0,1.0
3,207,1.0,1.0
2,208,1.0,1.0
3,123,1.0,1.0
3,210,1.0,1.0
2,204,1.0,1.0
22,300,0.9833333333333333,0.9833333333333333
3,203,1.0,1.0
3,116,1.0,1.0
3,209,1.0,1.0
3,204,1.0,1.0
150,145,0.7733333333333333,0.7966666666666666
2,200,1.0,1.0
13,145,0.99,0.99
4,210,1.0,1.0
3,198,1.0,1.0
3,204,1.0,1.0
2,118,1.0,1.0
52,55,0.93,0.9333333333333333
2,118,1.0,1.0
2,197,1.0,1.0
3,204,1.0,1.0
2,210,1.0,1.0
5,300,0.9966666666666667,0.9933333333333333
2,191,1.0,1.0
3,118,1.0,1.0
2,205,1.0,1.0
3,122,1.0,1.0
3,194,1.0,1.0
2,118,1.0,1.0
3,202,1.0,1.0
3,199,1.0,1.0
189,296,0.72,0.7233333333333334
3,217,1.0,1.0
2,198,1.0,1.0
3,120,1.0,1.0
3,203,1.0,1.0
2,116,1.0,1.0
3,203,1.0,1.0
18,209,0.9833333333333333,0.9833333333333333
3,118,1.0,1.0
2,206,1.0,1.0
3,118,1.0,1.0
15,199,0.98,0.9833333333333333
3,211,1.0,1.0
59,236,0.9166666666666666,0.92
2,120,1.0,1.0
2,206,1.0,1.0
3,117,1.0,1.0
3,210,1.0,1.0
3,124,1.0,1.0
3,204,1.0,1.0
2,300,1.0,1.0
3,203,1.0,1.0
29,53,0.9633333333333334,0.9633333333333334
55,216,0.9266666666666666,0.9166666666666666
5,208,0.9966666666666667,0.9966666666666667
2,202,1.0,1.0
2,195,1.0,1.0
3,197,1.0,1.0
3,194,1.0,1.0
3,193,1.0,1.0
4,124,1.0,1.0
3,203,1.0,1.0
7,143,1.0,1.0
2,207,1.0,1.0
3,210,1.0,1.0
2,117,1.0,1.0
3,207,1.0,1.0
4,210,1.0,1.0
3,205,1.0,1.0
3,204,1.0,1.0
3,206,1.0,1.0
15,224,0.99,0.99
3,119,1.0,1.0
3,207,1.0,1.0
3,121,1.0,1.0
3,198,1.0,1.0
3,209,1.0,1.0
2,204,1.0,1.0
48,45,0.94,0.9466666666666667
3,205,1.0,1.0
3,204,1.0,1.0
10,139,0.9966666666666667,0.9966666666666667
2,206,1.0,1.0
4,207,0.9966666666666667,0.9966666666666667
2,219,1.0,1.0
3,210,1.0,1.0
2,209,1.0,1.0
2,204,1.0,1.0
2,201,1.0,1.0
