n_linear,n_rbf,acc_linear,acc_rbf
299,19,0.6366666666666667,0.9966666666666667
280,19,0.63,0.9966666666666667
287,17,0.6466666666666666,0.9933333333333333
288,29,0.65,0.98
292,13,0.6033333333333334,0.9966666666666667
288,15,0.63,0.9933333333333333
295,11,0.64,0.9966666666666667
286,18,0.6366666666666667,0.9966666666666667
299,8,0.5866666666666667,1.0
280,109,0.6166666666666667,1.0
285,20,0.65,0.9933333333333333
290,10,0.6166666666666667,0.9966666666666667
286,10,0.64,1.0
289,24,0.6366666666666667,0.99
287,8,0.6333333333333333,1.0
293,12,0.6133333333333333,1.0
289,11,0.61,1.0
290,22,0.59,0.9966666666666667
298,36,0.6433333333333333,0.9866666666666667
297,12,0.63,1.0
274,7,0.6433333333333333,1.0
284,12,0.6233333333333333,1.0
297,15,0.6133333333333333,0.9966666666666667
285,11,0.6333333333333333,0.9966666666666667
279,27,0.66,0.99
287,40,0.6466666666666666,0.9833333333333333
272,104,0.65,0.99
300,13,0.6166666666666667,1.0
291,27,0.63,0.9966666666666667
287,33,0.6633333333333333,0.9933333333333333
287,12,0.6366666666666667,1.0
294,40,0.6033333333333334,0.9833333333333333
283,27,0.65,0.99
279,13,0.6433333333333333,1.0
285,17,0.6233333333333333,0.9933333333333333
287,13,0.66,1.0
285,65,0.6033333333333334,0.99
290,13,0.64,1.0
284,62,0.6433333333333333,0.9866666666666667
300,15,0.61,1.0
298,110,0.6266666666666667,0.98
283,13,0.62,0.9966666666666667
291,12,0.6333333333333333,1.0
295,9,0.6366666666666667,1.0
293,263,0.61,0.9866666666666667
288,21,0.6433333333333333,0.9933333333333333
279,43,0.6533333333333333,0.9933333333333333
295,15,0.62,0.9966666666666667
284,30,0.65,0.9966666666666667
295,20,0.61,0.9933333333333333
298,11,0.6133333333333333,1.0
290,12,0.6666666666666666,1.0
273,21,0.62,0.99
290,28,0.6166666666666667,0.9966666666666667
296,20,0.61,0.99
279,37,0.6633333333333333,0.9966666666666667
292,42,0.6266666666666667,0.9866666666666667
299,12,0.63,1.0
296,14,0.6266666666666667,1.0
294,24,0.6266666666666667,1.0
297,62,0.63,0.99
294,12,0.6566666666666666,1.0
296,20,0.6133333333333333,0.99
292,13,0.5833333333333334,0.9966666666666667
300,19,0.6533333333333333,0.9933333333333333
288,12,0.6033333333333334,0.9966666666666667
297,57,0.5733333333333334,0.99
277,25,0.6366666666666667,0.9966666666666667
286,37,0.6433333333333333,0.9833333333333333
286,16,0.64,1.0
281,17,0.63,0.9933333333333333
287,56,0.6233333333333333,0.99
287,28,0.6233333333333333,0.9966666666666667
277,14,0.6533333333333333,1.0
262,12,0.6666666666666666,1.0
293,16,0.62,0.99
292,22,0.5866666666666667,0.99
295,11,0.63,0.9966666666666667
287,18,0.6266666666666667,0.9933333333333333
284,22,0.6466666666666666,0.99
293,14,0.6333333333333333,1.0
282,28,0.6366666666666667,0.9933333333333333
293,19,0.6066666666666667,0.9933333333333333
281,22,0.6266666666666667,0.99
289,16,0.6333333333333333,0.9966666666666667
298,11,0.6133333333333333,0.9966666666666667
296,11,0.6466666666666666,0.9966666666666667
295,18,0.63,0.9933333333333333
288,44,0.6233333333333333,0.9766666666666667
259,15,0.6666666666666666,0.9966666666666667
275,11,0.6566666666666666,0.9966666666666667
294,15,0.6533333333333333,0.9966666666666667
279,13,0.6233333333333333,1.0
290,19,0.62,0.9933333333333333
284,28,0.65,0.9966666666666667
283,12,0.6133333333333333,1.0
294,14,0.6366666666666667,1.0
297,27,0.6233333333333333,0.9933333333333333
278,16,0.6366666666666667,0.9966666666666667
294,12,0.6266666666666667,1.0
284,10,0.6133333333333333,1.0
289,64,0.62,0.97
290,19,0.5966666666666667,0.99
286,50,0.65,0.9866666666666667
285,14,0.6233333333333333,1.0
298,15,0.6133333333333333,1.0
294,12,0.6066666666666667,0.9966666666666667
288,19,0.6266666666666667,0.99
299,42,0.63,0.9933333333333333
297,18,0.6433333333333333,1.0
283,12,0.65,0.9966666666666667
285,21,0.6066666666666667,0.9933333333333333
294,16,0.63,1.0
296,17,0.58,0.9966666666666667
290,28,0.6433333333333333,0.9933333333333333
287,24,0.63,0.9866666666666667
294,23,0.6433333333333333,0.9933333333333333
286,24,0.6366666666666667,0.99
294,20,0.6566666666666666,0.9933333333333333
298,31,0.6233333333333333,0.9933333333333333
298,40,0.64,0.9933333333333333
291,14,0.6233333333333333,0.9966666666666667
291,17,0.6233333333333333,0.99
294,21,0.6433333333333333,0.9933333333333333
293,16,0.66,0.9966666666666667
296,31,0.61,0.99
291,29,0.64,0.9933333333333333
299,22,0.63,0.9966666666666667
299,10,0.65,1.0
292,12,0.5966666666666667,1.0
297,10,0.6266666666666667,1.0
298,22,0.6166666666666667,0.9933333333333333
284,9,0.62,1.0
282,39,0.6566666666666666,0.99
280,61,0.61,0.99
296,11,0.6133333333333333,0.9966666666666667
295,19,0.6266666666666667,0.9966666666666667
281,10,0.63,1.0
291,24,0.6166666666666667,1.0
297,16,0.6233333333333333,0.9966666666666667
291,13,0.6066666666666667,0.9933333333333333
273,15,0.6233333333333333,1.0
295,44,0.5966666666666667,0.99
282,16,0.65,0.9966666666666667
290,20,0.6166666666666667,1.0
282,18,0.6566666666666666,0.9966666666666667
278,26,0.6533333333333333,0.9866666666666667
287,11,0.6566666666666666,1.0
289,11,0.64,1.0
298,33,0.6433333333333333,0.9933333333333333
