"DIAS" "VIEWS" "INSCRITOS" "CANAL"
"1" 1 5200 66 "inventonahora"
"2" 2 4600 89 "inventonahora"
"3" 3 5200 103 "inventonahora"
"4" 4 4400 87 "inventonahora"
"5" 5 5100 102 "inventonahora"
"6" 6 6200 93 "inventonahora"
"7" 7 4800 61 "inventonahora"
"8" 8 4500 74 "inventonahora"
"9" 9 3700 53 "inventonahora"
"10" 10 3700 70 "inventonahora"
"11" 11 6000 93 "inventonahora"
"12" 12 5700 128 "inventonahora"
"13" 13 4800 81 "inventonahora"
"14" 14 3800 61 "inventonahora"
"15" 15 3900 57 "inventonahora"
"16" 16 9300 225 "inventonahora"
"17" 17 7600 267 "inventonahora"
"18" 18 6000 115 "inventonahora"
"19" 19 5800 101 "inventonahora"
"20" 20 5500 104 "inventonahora"
"21" 21 5400 95 "inventonahora"
"22" 22 5600 88 "inventonahora"
"23" 23 5500 72 "inventonahora"
"24" 24 6600 121 "inventonahora"
"25" 25 8000 161 "inventonahora"
"26" 26 6400 96 "inventonahora"
"27" 27 6500 118 "inventonahora"
"28" 28 5200 93 "inventonahora"
"29" 29 5200 122 "inventonahora"
"30" 30 5500 113 "inventonahora"
"31" 31 5000 92 "inventonahora"
"32" 32 5700 89 "inventonahora"
"33" 33 5900 91 "inventonahora"
"34" 34 5200 84 "inventonahora"
"35" 35 4570 86 "inventonahora"
"36" 36 7400 73 "inventonahora"
"37" 37 6900 130 "inventonahora"
"38" 38 5900 156 "inventonahora"
"39" 39 5600 102 "inventonahora"
"40" 40 6400 101 "inventonahora"
"41" 41 9000 101 "inventonahora"
"42" 42 6100 107 "inventonahora"
"43" 43 5700 80 "inventonahora"
"44" 44 6000 97 "inventonahora"
"45" 45 6300 82 "inventonahora"
"46" 46 7900 33 "inventonahora"
"47" 47 10000 135 "inventonahora"
"48" 48 7000 169 "inventonahora"
"49" 49 8000 117 "inventonahora"
"50" 50 7700 123 "inventonahora"
"51" 51 7000 110 "inventonahora"
"52" 52 6500 104 "inventonahora"
"53" 53 21500 103 "inventonahora"
"54" 54 31300 276 "inventonahora"
"55" 55 10800 428 "inventonahora"
"56" 56 11000 230 "inventonahora"
"57" 57 9700 260 "inventonahora"
"58" 58 9800 145 "inventonahora"
"59" 59 11900 124 "inventonahora"
"60" 60 22100 367 "inventonahora"
"61" 61 27700 420 "inventonahora"
"62" 62 30800 343 "inventonahora"
"63" 63 37800 307 "inventonahora"
"64" 64 49200 399 "inventonahora"
"65" 65 44300 377 "inventonahora"
"66" 66 45500 403 "inventonahora"
"67" 67 46500 406 "inventonahora"
"68" 68 27700 281 "inventonahora"
"69" 69 19500 249 "inventonahora"
"70" 70 20100 361 "inventonahora"
"71" 71 18900 292 "inventonahora"
"72" 72 14800 269 "inventonahora"
"73" 73 14200 233 "inventonahora"
"74" 74 15000 254 "inventonahora"
"75" 75 15900 220 "inventonahora"
"76" 76 16000 209 "inventonahora"
"77" 77 20100 264 "inventonahora"
"78" 78 21400 285 "inventonahora"
"79" 79 17600 268 "inventonahora"
"80" 80 18300 283 "inventonahora"
"81" 81 18300 279 "inventonahora"
"82" 82 17500 293 "inventonahora"
"83" 83 16100 320 "inventonahora"
"84" 84 13800 314 "inventonahora"
"85" 85 12800 287 "inventonahora"
"86" 86 12000 240 "inventonahora"
"87" 87 11400 212 "inventonahora"
"88" 88 14500 204 "inventonahora"
"89" 89 14300 177 "inventonahora"
"90" 90 10000 169 "inventonahora"
"91" 91 11300 183 "inventonahora"
"92" 92 12800 212 "inventonahora"
"93" 93 11900 212 "inventonahora"
